Bahasa,Penilaian,Saran,Kategori,Tahun
id,3.0,-,Registrar Office,2023
id,4.0,Sudah baik,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,4.0,Layanannya sangat baik,Registrar Office,2023
id,4.0,Sudah baik lanjutkan,Registrar Office,2023
id,4.0,"Terimakasih, lebih semangat dan lebih baik lagi layanannya",Registrar Office,2023
id,2.0,Sangat bagus dalam menghadapi mahasiswa UPH,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,4.0,-,Registrar Office,2023
id,4.0,pertahankan,Registrar Office,2023
id,3.0,"Menurut saya, layanan registar office sudah baik dan pelayanannya cukup cepat dalam merespon mahasiswa/i.",Registrar Office,2023
id,4.0,-,Registrar Office,2023
id,3.0,sudah baik,Registrar Office,2023
id,4.0,-,Registrar Office,2023
id,3.0,Sangat bagus and tidak ada komplain,Registrar Office,2023
id,3.0,Tidak ada,Registrar Office,2023
id,4.0,Speaker memberikan pemaparan materi yang sangat informatif serta membawakan materi yang relevan.,Registrar Office,2023
id,3.0,Sudah bagus,Registrar Office,2023
id,4.0,tidak ada sejauh ini,Registrar Office,2023
id,3.0,Secara keseluruhan sudah cukup baik,Registrar Office,2023
id,4.0,bagus,Registrar Office,2023
id,2.0,Lebih di perbaiki lagi ui n ux nya,Registrar Office,2023
en,3.0,All is well,Registrar Office,2023
id,3.0,Sudah baik,Registrar Office,2023
id,4.0,Bagus,Registrar Office,2023
id,4.0,Sangat baik bisa ditingkatkan,Registrar Office,2023
id,3.0,Sudah cukup baik,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,4.0,Tidak ada,Registrar Office,2023
id,3.0,Mantaap,Registrar Office,2023
id,2.0,Gak ada,Registrar Office,2023
id,2.0,-,Registrar Office,2023
id,3.0,Acara berjalan dengan sangat baik,Registrar Office,2023
id,3.0,lebih baik lagi,Registrar Office,2023
id,3.0,bagus,Registrar Office,2023
id,4.0,Bagus,Registrar Office,2023
id,4.0,Sangat baik.,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,2.0,Aman,Registrar Office,2023
id,4.0,Semoga Kantor Registar dapat memenuhi kebutuhan administrasi mahasiswa,Registrar Office,2023
id,2.0,Untuk saat ini tidak ada saran,Registrar Office,2023
id,2.0,Lebih di optimalkan masalah registrasinya,Registrar Office,2023
id,3.0,Kecepetan layanan ditingkatkan,Registrar Office,2023
id,4.0,sudah bagus dan fast respon,Registrar Office,2023
id,4.0,-,Registrar Office,2023
id,4.0,Di tingkatkan layanannya,Registrar Office,2023
id,4.0,Tidak ada,Registrar Office,2023
id,3.0,Puas,Registrar Office,2023
id,3.0,mantap,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,3.0,Semoga lebih responsif,Registrar Office,2023
id,2.0,"pertahankan yang bagus, Improve yang kurang",Registrar Office,2023
id,3.0,.,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,4.0,"Sudah sangat baik, semoga bisa dipertahankan dan ditingkatkan",Registrar Office,2023
id,3.0,Tidak ada,Registrar Office,2023
id,3.0,Excellent,Registrar Office,2023
id,3.0,semua sudah oke,Registrar Office,2023
id,4.0,Tidak ada,Registrar Office,2023
id,2.0,Harus lebih responsif,Registrar Office,2023
id,2.0,Sudah bagus,Registrar Office,2023
id,3.0,todak ada,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,4.0,"Terimakasih telab menjadi sangat helpful, responsif, dan informatif",Registrar Office,2023
id,3.0,Tidak ada,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,4.0,Sejauh ini sudah bagus dan performanya cepat,Registrar Office,2023
id,3.0,Tidak ada,Registrar Office,2023
id,4.0,Sudah bagus,Registrar Office,2023
id,4.0,sudah baik,Registrar Office,2023
id,3.0,Tidak ada,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,4.0,Baik,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,4.0,-,Registrar Office,2023
id,4.0,-,Registrar Office,2023
id,4.0,sejauh ini tidak ada karena cukup baik,Registrar Office,2023
id,2.0,tidak ada,Registrar Office,2023
id,3.0,Saya hanya memberikan saran supaya RO tidak sinis dalam melayani mahasiswa. Waktu itu saya pernah menelpon RO di pukul 15.55 namun saya di tolak untuk dilayani karena alasan sudah di luar jam kantor.,Registrar Office,2023
id,3.0,cepat tanggap dan permasalahan selesai cepat setelah di proses.,Registrar Office,2023
id,3.0,Tidak ada,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,4.0,Sudah baik,Registrar Office,2023
id,3.0,Tidak ada. Sudah cukup baik dan dipertahankan saja.,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,4.0,-,Registrar Office,2023
id,4.0,.,Registrar Office,2023
id,3.0,Tidak ada,Registrar Office,2023
id,3.0,Informasi nya lebih diperjelas lagi,Registrar Office,2023
id,3.0,Sudah baik,Registrar Office,2023
id,4.0,Tidak ada,Registrar Office,2023
id,4.0,sangat baik,Registrar Office,2023
id,4.0,"Sebagai mahasiswa pjj yang tidak bisa setiap saat ke kampus, akses melalui email sudah cukup untuk mengatasi permasalahan",Registrar Office,2023
id,3.0,Sudah cukup baik,Registrar Office,2023
id,4.0,-,Registrar Office,2023
id,3.0,tidak ada,Registrar Office,2023
id,2.0,Pelayanannya cukup baik,Registrar Office,2023
id,2.0,Untuk waktu pengerjaan mungkin bisa lebih fast response,Registrar Office,2023
id,4.0,Baik,Registrar Office,2023
id,4.0,Terima kasih atas layanannya.,Registrar Office,2023
id,4.0,-,Registrar Office,2023
id,4.0,"Sudah sangat baik, hanya kadang tidak bisa diakses semua jaringan",Registrar Office,2023
id,3.0,Diharapkan bisa mempercepat penanganan keperluan setiap mahasiswa/i lebih baik lagi,Registrar Office,2023
id,4.0,"jaringannya lebih diperbagus lagi, karena sebagian internet tidak bisa dibuka dari dorm.
terima kasih.",Registrar Office,2023
id,4.0,layanan sudah sangat baik dan memenuhi kebutuhan mahasiswa,Registrar Office,2023
id,2.0,-,Registrar Office,2023
id,3.0,Staff dapat lebih lagi inisiatif dan responsif,Registrar Office,2023
id,3.0,Cukup bagus,Registrar Office,2023
id,3.0,"Saya punya saran yakni, pemberian ksm yang tepat waktu, karena saya punya pengalaman bahwa saya tidak pernah telat membayar, namun saya terlambat dalam mendapatkan KSM untuk ujian",Registrar Office,2023
id,4.0,Oke,Registrar Office,2023
id,3.0,WiFi lebih dipercepat lagi jaringannya,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,3.0,Saran: pendaftarannya tersebar lebih luas ke berbagai anak anak pelosok/pedalaman di indonesia,Registrar Office,2023
id,4.0,-,Registrar Office,2023
id,3.0,Membantu dan mempermudah,Registrar Office,2023
id,2.0,-,Registrar Office,2023
id,3.0,mantapppp,Registrar Office,2023
id,3.0,"agak bingung mengisinya, kemarin di guide oleh team UPH",Registrar Office,2023
id,2.0,"Pelayanan sudah cukup okay, mungkin perlu memastikan saat calon mahasiswa ingin mendaftar, mereka ingin memilih jurusan apa agar ke depannya tidak menimbulkan kebingungan mengenai lokasi dan program yang ada.",Registrar Office,2023
id,3.0,Good,Registrar Office,2023
id,3.0,Lebih ditingkatkan kecepatan  responenya,Registrar Office,2023
id,3.0,"Data seperti Pas Foto, Ijazah dan Informasi lainnya saat pendaftaran agar juga bisa terhubung otomatis dengan data OPCS. Dalam kasus yang yang saya temui adalah untuk pembuatan kartu mahasiswa masih harus mengirim lagi foto karena data pendaftaran tidak otomatis mengisi data di OPCS,begitupun dengan data ijazah dan lain-lain belum terisi di OPCS,harus mengulang melakukan unggah data baru. Terima kasih",Registrar Office,2023
id,4.0,Sangat baik,Registrar Office,2023
id,3.0,Semoga lebih baik lagi,Registrar Office,2023
id,4.0,Sangat baik,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,2.0,sudah cukup,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,4.0,Sudah Cukup Baik,Registrar Office,2023
id,4.0,tidak ada,Registrar Office,2023
id,4.0,Good,Registrar Office,2023
id,3.0,sudah cukup baik,Registrar Office,2023
id,4.0,Sejauh ini saya belum memiliki saran dan komentar apapun.,Registrar Office,2023
id,1.0,harus lebih cepat dalam merespon dan tidak hanya read saja ketika di chat,Registrar Office,2023
id,2.0,lebih cepat dan jelas dalam memberikan panduan,Registrar Office,2023
id,4.0,Good respon dan good respect,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,3.0,Respon harap dipercepat,Registrar Office,2023
id,2.0,lebih care karna terlihat cuek,Registrar Office,2023
id,3.0,.,Registrar Office,2023
id,3.0,-,Registrar Office,2023
id,2.0,"layanan tidak cepat. saya pernah meminta surat keterangan kuliah aktif baik melalui UPH mobile maupun email, namun keduanya diberikan setelah 2 minggu dan itupun saya harus mengemail ulang ke pihak RO",Registrar Office,2023
id,3.0,Semoga OPCS bisa dibuka menggunakan WiFi Dorm,Registrar Office,2023
id,3.0,pelayanan dan melayani terus di tingkatkan di setiap angkatannya,Registrar Office,2023
id,4.0,-,Registrar Office,2023
id,3.0,Lebih diperbaiki lagi dalam merespon dan menangani persoalan register. Karena terkadang harus butuh waktu lama dalam menerima jawaban,Registrar Office,2023
id,4.0,-,Registrar Office,2023
id,4.0,Tidak ada,Registrar Office,2023
id,2.0,Lebih ramah lagi yaa,Registrar Office,2023
id,2.0,Tidak ada,Registrar Office,2023
id,3.0,baik,Registrar Office,2023
id,3.0,Tidak ada,Registrar Office,2023
id,2.0,-,Registrar Office,2023
id,4.0,-,Registrar Office,2023
id,3.0,sudah baik,Registrar Office,2023
id,3.0,Sudah cukup baik.,Registrar Office,2023
id,4.0,"Sudah baik, selama ini tidak pernah mengalami kendala saat menggunakan layanan Registrar Office",Registrar Office,2023
id,3.0,bagus,Registrar Office,2023
id,3.0,Need to decrease their prices for student card if lost,Registrar Office,2023
id,2.0,"Layanannya sejauh ini cukup puas, tetapi sistemnya tidak terstruktur karena saat saya tanya, registar justru melempar pertanyaan ke admin lain, begitupun sebaliknya.",Registrar Office,2023
id,3.0,Keep up the Good work,Registrar Office,2023
id,3.0,sudah cukup baik,Registrar Office,2023
id,4.0,belum ada,Registrar Office,2023
en,2.0,Processing takes too long in RO.,Registrar Office,2023
id,3.0,tidak ad,Registrar Office,2023
id,3.0,lebih fast respon,Registrar Office,2023
id,4.0,-,Registrar Office,2023
id,3.0,Tidak ada,Registrar Office,2023
id,2.0,The admin system is not well structured and slow.,Registrar Office,2023
id,4.0,-,Registrar Office,2023
id,4.0,Semoga kedepan semakin maju dan bagus.,Registrar Office,2023
